indexer,indexer_vps_provider,indexer_location,indexing_agreements,score
0xdb5676812c4841f6594d789b809a2088bc5ee25b,AS13649 Flexential Colorado Corp.,"20,-80",72,0.6255264589900986
0x6b913ba84c0995f44c68589a0846c9e49b32fcc7,AS24940 Hetzner Online GmbH,"60,20",225,0.6246877620918863
0xedac07a0392b742eb97388adf0724758bcd65663,AS16276 OVH SAS,"60,0",223,0.6244992261442296
0x74d1dd2dd0d95b65f7a70067165c497cf2bd4123,"AS13335 Cloudflare, Inc.","40,-120",231,0.6240377587306392
0x54dd1235bd82f0a96d8db41fb4ea5faa78a1efeb,AS8708 RCS & RDS SA,"40,20",226,0.6236826236208738
0x0257564c082cf99532c035b91d6bf5ef5ef8fb84,AS3170 VeloxServ Communications Ltd,"60,0",247,0.6233888334382591
0xb323a332e70d8543a7252428878d507509f6b06b,AS24940 Hetzner Online GmbH,"60,20",141,0.6211258776926475
0x5423e096159e0b0ebb3c5bf987d9d16e4362a566,AS24940 Hetzner Online GmbH,"60,20",230,0.6192483890327485
0xd636f716fe8c120f478e234315d95815bf815674,AS5413 Daisy Corporate Services Trading Ltd,"60,0",93,0.6184053392407567
0x91ac5f3c14706e471ae09b1bbc990a6ef40d3b7d,AS24940 Hetzner Online GmbH,"60,20",112,0.6121826834648456
0xc97a6d2661bfbdd95e290a653bb1eb762e07435d,AS24940 Hetzner Online GmbH,"60,20",98,0.6111276477636195
0x1cca9e7aa1718afb3eb24a31b7fee3f9c452c6e0,AS37153 Xneelo (Pty) Ltd,"-20,20",7,0.5979614294167953
0xdb1741df9aaebbd15ec910c88fba873d61d94083,"AS13335 Cloudflare, Inc.","40,-120",196,0.5928908319453821
0x97ffbe611708a48637121a7a734d7345ecd3395b,AS24940 Hetzner Online GmbH,"60,20",43,0.5917802213231207
0x2b1b275b8eccbe78a87750f6ab9f995cd7b4debf,AS24940 Hetzner Online GmbH,"60,20",12,0.5745700687114439
0x6b5425b97f34f899af06a160429dbbb6932f4996,"AS13335 Cloudflare, Inc.","40,-120",114,0.5590554276742294
0x72cad7d4f0e9d5e26436b5a6b0b11af8d871bd6a,"AS13335 Cloudflare, Inc.","40,-120",21,0.5524046892635618
0x341f96feed41a495ad31c33393ae5a17beb57b96,"AS13335 Cloudflare, Inc.","40,-120",120,0.5094781010748821
0x1d1169d0f28e8b6fc46620adf16e6b4981df94fd,"AS13335 Cloudflare, Inc.","40,-120",124,0.5094461134518593
0x14fd8a23669760509bbd9f964a4c7ca3fc7e9ef3,AS24940 Hetzner Online GmbH,"60,20",27,0.5042930512913056
0x0d03f722209e23f426fed2583e6e6551565621cb,AS24940 Hetzner Online GmbH,"60,20",21,0.5037391895803242
0x24e5e10ddb878e31cf88cac59d4576f0f4be9dd7,"AS13335 Cloudflare, Inc.","40,-120",6,0.5035042330116898
0xf67a0cbe27dda32dce76ae0dbe36c7cbcdb84a12,AS24940 Hetzner Online GmbH,"60,20",25,0.4383943983395028
